ID,index,voices,voiceToEQandComp,effects,voicesToEffects,CPUPerc,MemPerc
4,0,50,50,5,20,87.5,1.5
4,1,50,50,5,20,87.5,1.5
4,2,50,50,5,20,87.5,1.5
4,3,50,50,5,20,87.5,1.5
4,4,50,50,5,20,93.8000030518,1.5
4,5,50,50,5,20,100,1.5
4,6,50,50,5,20,87.5,1.5
4,7,50,50,5,20,93.8000030518,1.5
4,8,50,50,5,20,93.8000030518,1.5
4,9,50,50,5,20,82.4000015259,1.5
4,10,50,50,5,20,81.1999969482,1.5
4,11,50,50,5,20,87.5,1.5
4,12,50,50,5,20,87.5,1.5
4,13,50,50,5,20,93.8000030518,1.5
4,14,50,50,5,20,100,1.5
4,15,50,50,5,20,87.5,1.5
4,16,50,50,5,20,93.8000030518,1.5
4,17,50,50,5,20,93.8000030518,1.5
4,18,50,50,5,20,93.8000030518,1.5
4,19,50,50,5,20,93.8000030518,1.5
4,20,50,50,5,20,93.8000030518,1.5
4,21,50,50,5,20,87.5,1.5
4,22,50,50,5,20,93.8000030518,1.5
4,23,50,50,5,20,87.5,1.5
4,24,50,50,5,20,93.8000030518,1.5
4,25,50,50,5,20,87.5,1.5
4,26,50,50,5,20,100,1.5
4,27,50,50,5,20,100,1.5
4,28,50,50,5,20,93.3000030518,1.5
4,29,50,50,5,20,100,1.5
4,30,50,50,5,20,100,1.5
4,31,50,50,5,20,87.5,1.5
4,32,50,50,5,20,93.8000030518,1.5
4,33,50,50,5,20,100,1.5
4,34,50,50,5,20,87.5,1.5
4,35,50,50,5,20,87.5,1.5
4,36,50,50,5,20,87.5,1.5
4,37,50,50,5,20,93.8000030518,1.5
4,38,50,50,5,20,87.5,1.5
4,39,50,50,5,20,87.5,1.5
4,40,50,50,5,20,87.5,1.5
4,41,50,50,5,20,87.5,1.5
4,42,50,50,5,20,100,1.5
4,43,50,50,5,20,87.5,1.5
4,44,50,50,5,20,93.8000030518,1.5
4,45,50,50,5,20,87.5,1.5
4,46,50,50,5,20,87.5,1.5
4,47,50,50,5,20,87.5,1.5
4,48,50,50,5,20,93.8000030518,1.5
4,49,50,50,5,20,93.8000030518,1.5
