ID,index,voices,voicesToEQandComp,effects,voicesToEffects,CPUPerc,MemPerc
3,0,40,40,3,15,50,2.2999999523
3,1,40,40,3,15,56.2000007629,2.2999999523
3,2,40,40,3,15,56.2000007629,2.2999999523
3,3,40,40,3,15,53.2999992371,2.2999999523
3,4,40,40,3,15,56.2000007629,2.2999999523
3,5,40,40,3,15,50,2.2999999523
3,6,40,40,3,15,56.2000007629,2.2999999523
3,7,40,40,3,15,56.2000007629,2.2999999523
3,8,40,40,3,15,53.2999992371,2.2999999523
3,9,40,40,3,15,56.2000007629,2.2999999523
3,10,40,40,3,15,50,2.2999999523
3,11,40,40,3,15,50,2.2999999523
3,12,40,40,3,15,53.2999992371,2.2999999523
3,13,40,40,3,15,60,2.2999999523
3,14,40,40,3,15,50,2.2999999523
3,15,40,40,3,15,56.2000007629,2.2999999523
3,16,40,40,3,15,56.2000007629,2.2999999523
3,17,40,40,3,15,66.6999969482,2.2999999523
3,18,40,40,3,15,53.2999992371,2.2999999523
3,19,40,40,3,15,50,2.2999999523
3,20,40,40,3,15,56.2000007629,2.2999999523
3,21,40,40,3,15,56.2000007629,2.2999999523
3,22,40,40,3,15,68.8000030518,2.2999999523
3,23,40,40,3,15,50,2.2999999523
3,24,40,40,3,15,60,2.2999999523
3,25,40,40,3,15,53.2999992371,2.2999999523
3,26,40,40,3,15,29.3999996185,2.2999999523
3,27,40,40,3,15,27.7999992371,2.2999999523
3,28,40,40,3,15,23.5,2.2999999523
3,29,40,40,3,15,27.7999992371,2.2999999523
3,30,40,40,3,15,22.2000007629,2.2999999523
3,31,40,40,3,15,26.2999992371,2.2999999523
3,32,40,40,3,15,37.5,2.2999999523
3,33,40,40,3,15,36.7999992371,2.2999999523
3,34,40,40,3,15,29.3999996185,2.2999999523
3,35,40,40,3,15,41.2000007629,2.2999999523
3,36,40,40,3,15,31.2000007629,2.2999999523
3,37,40,40,3,15,31.2000007629,2.2999999523
3,38,40,40,3,15,31.2000007629,2.2999999523
3,39,40,40,3,15,31.2000007629,2.2999999523
3,40,40,40,3,15,29.3999996185,2.2999999523
3,41,40,40,3,15,31.2000007629,2.2999999523
3,42,40,40,3,15,33.2999992371,2.2999999523
3,43,40,40,3,15,21.1000003815,2.2999999523
3,44,40,40,3,15,37.5,2.2999999523
3,45,40,40,3,15,23.5,2.2999999523
3,46,40,40,3,15,35.2999992371,2.2999999523
3,47,40,40,3,15,37.5,2.2999999523
3,48,40,40,3,15,37.5,2.2999999523
3,49,40,40,3,15,37.5,2.2999999523
