ID,index,voices,voicesToEQandComp,effects,voicesToEffects,CPUPerc,MemPerc
1,0,10,10,1,5,180,2.2000000477
1,1,10,10,1,5,218.8000030518,2.2000000477
1,2,10,10,1,5,218.8000030518,2.2999999523
1,3,10,10,1,5,81.1999969482,2.2999999523
1,4,10,10,1,5,18.7999992371,2.2999999523
1,5,10,10,1,5,18.7999992371,2.2999999523
1,6,10,10,1,5,18.7999992371,2.2999999523
1,7,10,10,1,5,12.5,2.2999999523
1,8,10,10,1,5,31.2000007629,2.2999999523
1,9,10,10,1,5,18.7999992371,2.2999999523
1,10,10,10,1,5,25,2.2999999523
1,11,10,10,1,5,20,2.2999999523
1,12,10,10,1,5,12.5,2.2999999523
1,13,10,10,1,5,25,2.2999999523
1,14,10,10,1,5,18.7999992371,2.2999999523
1,15,10,10,1,5,18.7999992371,2.2999999523
1,16,10,10,1,5,20,2.2999999523
1,17,10,10,1,5,25,2.2999999523
1,18,10,10,1,5,12.5,2.2999999523
1,19,10,10,1,5,62.5,2.2999999523
1,20,10,10,1,5,25,2.2999999523
1,21,10,10,1,5,18.7999992371,2.2999999523
1,22,10,10,1,5,18.7999992371,2.2999999523
1,23,10,10,1,5,20,2.2999999523
1,24,10,10,1,5,25,2.2999999523
1,25,10,10,1,5,12.5,2.2999999523
1,26,10,10,1,5,18.7999992371,2.2999999523
1,27,10,10,1,5,20,2.2999999523
1,28,10,10,1,5,18.7999992371,2.2999999523
1,29,10,10,1,5,20,2.2999999523
1,30,10,10,1,5,18.7999992371,2.2999999523
1,31,10,10,1,5,12.5,2.2999999523
1,32,10,10,1,5,13.3000001907,2.2999999523
1,33,10,10,1,5,18.7999992371,2.2999999523
1,34,10,10,1,5,13.3000001907,2.2999999523
1,35,10,10,1,5,12.5,2.2999999523
1,36,10,10,1,5,20,2.2999999523
1,37,10,10,1,5,18.7999992371,2.2999999523
1,38,10,10,1,5,20,2.2999999523
1,39,10,10,1,5,18.7999992371,2.2999999523
1,40,10,10,1,5,20,2.2999999523
1,41,10,10,1,5,18.7999992371,2.2999999523
1,42,10,10,1,5,25,2.2999999523
1,43,10,10,1,5,18.7999992371,2.2999999523
1,44,10,10,1,5,18.7999992371,2.2999999523
1,45,10,10,1,5,12.5,2.2999999523
1,46,10,10,1,5,12.5,2.2999999523
1,47,10,10,1,5,18.7999992371,2.2999999523
1,48,10,10,1,5,18.7999992371,2.2999999523
1,49,10,10,1,5,25,2.2999999523
