ID,index,voices,voicesToEQandComp,effects,voicesToEffects,CPUPerc,MemPerc
2,0,25,25,1,10,37.5,2.2999999523
2,1,25,25,1,10,31.2000007629,2.2999999523
2,2,25,25,1,10,31.2000007629,2.2999999523
2,3,25,25,1,10,33.2999992371,2.2999999523
2,4,25,25,1,10,37.5,2.2999999523
2,5,25,25,1,10,31.2000007629,2.2999999523
2,6,25,25,1,10,46.7000007629,2.2999999523
2,7,25,25,1,10,31.2000007629,2.2999999523
2,8,25,25,1,10,37.5,2.2999999523
2,9,25,25,1,10,33.2999992371,2.2999999523
2,10,25,25,1,10,26.7000007629,2.2999999523
2,11,25,25,1,10,43.7999992371,2.2999999523
2,12,25,25,1,10,37.5,2.2999999523
2,13,25,25,1,10,33.2999992371,2.2999999523
2,14,25,25,1,10,37.5,2.2999999523
2,15,25,25,1,10,31.2000007629,2.2999999523
2,16,25,25,1,10,40,2.2999999523
2,17,25,25,1,10,33.2999992371,2.2999999523
2,18,25,25,1,10,33.2999992371,2.2999999523
2,19,25,25,1,10,43.7999992371,2.2999999523
2,20,25,25,1,10,31.2000007629,2.2999999523
2,21,25,25,1,10,43.7999992371,2.2999999523
2,22,25,25,1,10,33.2999992371,2.2999999523
2,23,25,25,1,10,31.2000007629,2.2999999523
2,24,25,25,1,10,33.2999992371,2.2999999523
2,25,25,25,1,10,31.2000007629,2.2999999523
2,26,25,25,1,10,43.7999992371,2.2999999523
2,27,25,25,1,10,31.2000007629,2.2999999523
2,28,25,25,1,10,31.2000007629,2.2999999523
2,29,25,25,1,10,37.5,2.2999999523
2,30,25,25,1,10,37.5,2.2999999523
2,31,25,25,1,10,37.5,2.2999999523
2,32,25,25,1,10,46.7000007629,2.2999999523
2,33,25,25,1,10,37.5,2.2999999523
2,34,25,25,1,10,33.2999992371,2.2999999523
2,35,25,25,1,10,31.2000007629,2.2999999523
2,36,25,25,1,10,31.2000007629,2.2999999523
2,37,25,25,1,10,31.2000007629,2.2999999523
2,38,25,25,1,10,37.5,2.2999999523
2,39,25,25,1,10,31.2000007629,2.2999999523
2,40,25,25,1,10,33.2999992371,2.2999999523
2,41,25,25,1,10,31.2000007629,2.2999999523
2,42,25,25,1,10,31.2000007629,2.2999999523
2,43,25,25,1,10,31.2000007629,2.2999999523
2,44,25,25,1,10,25,2.2999999523
2,45,25,25,1,10,40,2.2999999523
2,46,25,25,1,10,37.5,2.2999999523
2,47,25,25,1,10,37.5,2.2999999523
2,48,25,25,1,10,40,2.2999999523
2,49,25,25,1,10,37.5,2.2999999523
