ID,index,voices,voicesToEQandComp,effects,voicesToEffects,CPUPerc,MemPerc
0,0,4,4,0,0,137.5,2.0999999046
0,1,4,4,0,0,212.5,2.0999999046
0,2,4,4,0,0,206.1999969482,2.0999999046
0,3,4,4,0,0,131.1999969482,2.0999999046
0,4,4,4,0,0,25,2.0999999046
0,5,4,4,0,0,18.7999992371,2.0999999046
0,6,4,4,0,0,13.3000001907,2.0999999046
0,7,4,4,0,0,25,2.0999999046
0,8,4,4,0,0,6.1999998093,2.0999999046
0,9,4,4,0,0,12.5,2.0999999046
0,10,4,4,0,0,6.1999998093,2.0999999046
0,11,4,4,0,0,13.3000001907,2.0999999046
0,12,4,4,0,0,12.5,2.0999999046
0,13,4,4,0,0,6.1999998093,2.0999999046
0,14,4,4,0,0,6.6999998093,2.0999999046
0,15,4,4,0,0,12.5,2.0999999046
0,16,4,4,0,0,6.1999998093,2.0999999046
0,17,4,4,0,0,40,2.0999999046
0,18,4,4,0,0,6.1999998093,2.0999999046
0,19,4,4,0,0,6.1999998093,2.0999999046
0,20,4,4,0,0,12.5,2.0999999046
0,21,4,4,0,0,12.5,2.0999999046
0,22,4,4,0,0,12.5,2.0999999046
0,23,4,4,0,0,13.3000001907,2.0999999046
0,24,4,4,0,0,12.5,2.0999999046
0,25,4,4,0,0,6.6999998093,2.0999999046
0,26,4,4,0,0,6.1999998093,2.0999999046
0,27,4,4,0,0,6.6999998093,2.0999999046
0,28,4,4,0,0,20,2.0999999046
0,29,4,4,0,0,12.5,2.0999999046
0,30,4,4,0,0,6.1999998093,2.0999999046
0,31,4,4,0,0,25,2.0999999046
0,32,4,4,0,0,13.3000001907,2.0999999046
0,33,4,4,0,0,6.6999998093,2.0999999046
0,34,4,4,0,0,6.1999998093,2.0999999046
0,35,4,4,0,0,18.7999992371,2.0999999046
0,36,4,4,0,0,6.6999998093,2.0999999046
0,37,4,4,0,0,12.5,2.0999999046
0,38,4,4,0,0,13.3000001907,2.0999999046
0,39,4,4,0,0,6.1999998093,2.0999999046
0,40,4,4,0,0,6.1999998093,2.0999999046
0,41,4,4,0,0,6.1999998093,2.0999999046
0,42,4,4,0,0,13.3000001907,2.0999999046
0,43,4,4,0,0,6.1999998093,2.0999999046
0,44,4,4,0,0,20,2.0999999046
0,45,4,4,0,0,12.5,2.0999999046
0,46,4,4,0,0,13.3000001907,2.0999999046
0,47,4,4,0,0,12.5,2.0999999046
0,48,4,4,0,0,12.5,2.0999999046
0,49,4,4,0,0,12.5,2.0999999046
